player_name,previous_injury_date,next_injury_date,num_games,average_spin_rate,average_velocity,average_effective_speed,average_vx0,average_vy0,average_vz0,weight,height,bats,throws,recurrence,EVENT
"Jackson, Jay",2024-01-01,2024-12-31,23,2153.961473282564,86.93666972449665,86.90765276587048,6.738434922267019,-126.42150045546295,-3.5941899814964398,195.0,73.0,2,1,0,False
"Jacob, Alek",2024-01-01,2024-12-31,9,2249.591471104682,80.83182397302559,82.1368506696835,9.130328624805305,-117.22286877531913,3.2668411093616516,190.0,75.0,1,1,0,False
"Jacques, Joe",2024-01-01,2024-12-31,4,2109.0035650623886,86.93172905525847,86.40935828877005,-9.412277581827135,-126.15132366344525,1.2652360203877435,210.0,76.0,1,0,0,False
"James, Josh",2024-01-01,2024-12-31,1,2046.75,90.00416666666666,90.54583333333333,7.1151119507453044,-130.9235202368608,-4.28881930072304,234.0,75.0,2,1,0,False
"Jax, Griffin",2024-01-01,2024-12-31,74,2638.488184220684,92.51394925467125,92.72317186552384,2.6976182562210567,-134.69392212385677,-3.470326625354395,195.0,74.0,2,1,0,False
"Junis, Jakob",2024-01-01,2024-12-31,25,2279.252440603293,87.2937341796031,86.83220736701958,5.6789227684301835,-127.00753326663586,-2.7254291590432977,220.0,75.0,2,1,0,False
"Junk, Janson",2024-01-01,2024-12-31,6,2366.4444498271055,90.3638644971412,90.78730751196424,2.9146539129949693,-131.5273947270483,-4.250210164815583,177.0,73.0,2,1,0,False
"Justice, Evan",2024-01-01,2024-12-31,3,2207.1057692307695,90.84567307692308,90.92884615384615,-6.343632334690435,-132.2047699768454,-2.3725110421251427,205.0,76.0,1,0,0,False
"Karcher, Ricky",2024-01-01,2024-12-31,1,2212.3333333333335,96.13333333333333,95.64999999999999,8.227189248022048,-139.65470281103663,-7.345645527607064,230.0,76.0,2,1,0,False
"Keller, Brad",2024-01-01,2024-12-31,16,2335.0797844299186,89.53941817972775,89.39928793599711,2.8885244232452107,-130.35241987970923,-5.312350538662006,255.0,77.0,2,1,0,False
"Keller, Mitch",2024-01-01,2024-12-31,32,2506.164416157228,89.62837934187296,89.97714227478156,5.636992496047041,-130.39493277219628,-3.2482791471793835,220.0,74.0,2,1,0,False
"Kelley, Trevor",2024-01-01,2024-12-31,2,2256.5714285714284,86.32857142857144,86.44761904761906,12.913297562917426,-124.96886539788923,2.9848608195207946,210.0,74.0,2,1,0,False
"Kelly, Casey",2024-01-01,2024-12-31,2,2099.840131578947,86.5778947368421,85.33407894736843,5.886748293245294,-125.88031878573639,-5.244901319566814,215.0,75.0,2,1,0,False
"Kelly, Kevin",2024-01-01,2024-12-31,72,2294.1391694096947,86.76965524844928,88.05528750534397,6.097078799735949,-126.11927662908094,2.549577472884177,200.0,74.0,2,1,0,False
"Kelly, Michael",2024-01-01,2024-12-31,32,2605.9999004836163,87.67750493038632,86.86979265435492,2.6127188018164267,-127.60609371189639,-2.941131862885899,185.0,76.0,2,1,0,False
